ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2019-06-23T21:03:00.000,0.6443,-0.7463,0.1322,-54.68,119.63,180.30
2019-06-23T21:04:00.000,0.6443,-0.7493,0.1332,-53.82,120.56,179.48
2019-06-23T21:05:00.000,0.6443,-0.7463,0.1332,-55.57,123.33,179.42
2019-06-23T21:06:00.000,0.6433,-0.7463,0.1322,-56.46,119.64,178.59
2019-06-23T21:07:00.000,0.6423,-0.7473,0.1331,-57.29,117.78,180.25
2019-06-23T21:08:00.000,0.6433,-0.7483,0.1322,-54.63,119.61,181.97
2019-06-23T21:09:00.000,0.6404,-0.7453,0.1321,-54.70,121.48,179.45
2019-06-23T21:10:00.000,0.6463,-0.7453,0.1292,-56.44,118.71,179.43
2019-06-23T21:11:00.000,0.6443,-0.7463,0.1312,-52.97,121.49,178.66
2019-06-23T21:12:00.000,0.6433,-0.7473,0.1322,-56.46,121.49,178.58
2019-06-23T21:13:00.000,0.6414,-0.7493,0.1322,-59.04,117.77,180.21
2019-06-23T21:14:00.000,0.6424,-0.7473,0.1292,-57.25,120.53,181.90
2019-06-23T21:15:00.000,0.6433,-0.7472,0.1342,-53.83,116.86,179.51
2019-06-23T21:16:00.000,0.6463,-0.7453,0.1312,-54.68,118.70,180.31
2019-06-23T21:17:00.000,0.6414,-0.7462,0.1341,-56.46,121.49,178.58
2019-06-23T21:18:00.000,0.6424,-0.7463,0.1321,-54.61,119.61,182.81
2019-06-23T21:19:00.000,0.6433,-0.7463,0.1312,-55.57,120.56,179.44
2019-06-23T21:20:00.000,0.6453,-0.7493,0.1332,-57.29,120.55,180.23
2019-06-23T21:21:00.000,0.6423,-0.7473,0.1331,-56.39,122.39,181.07
2019-06-23T21:22:00.000,0.6433,-0.7452,0.1351,-54.65,120.54,181.13
2019-06-23T21:23:00.000,0.6433,-0.7473,0.1322,-52.95,118.71,179.52
2019-06-23T21:24:00.000,0.6424,-0.7473,0.1322,-53.83,119.63,179.49
2019-06-23T21:25:00.000,0.6444,-0.7463,0.1292,-56.46,118.71,178.60
2019-06-23T21:26:00.000,0.6424,-0.7453,0.1301,-54.63,122.38,181.95
2019-06-23T21:27:00.000,0.6423,-0.7462,0.1341,-56.44,121.48,179.41
